Company,Position,Website,Application site,Location,Remote,Date sent,Easy Application?,Days Since,Response?,Date Interview,Date of 1st Response,Time to First Response,Time to Rejection,Wage.Amount,Paid? ,Salary.Amount,Wage/Salary/Contract,Job Offer,Job Level,Job Type,Company Type,Current Date
Supermicro,System Product Engineer,,Linkedin,CA,n,2/7/2023,y,34,Ghosted,,,,,,Yes,"107,000",Salary,No,Mid,IT,Hardware,3/13/2023 18:51:27
GenSpark,Test Engineer,,Linkedin,CA,n,2/7/2023,y,34,Ghosted,,,,,53,Yes,,Wage,No,Entry,Developer,Consulting,3/13/2023 18:51:27
Supermicro,Software Engineer,,Linkedin,CA,n,2/16/2023,y,25,Ghosted,,,,,,Yes,"115,500",Salary,No,Mid,Developer,Hardware,3/13/2023 18:51:27
Apex Systems,Cyber Security Engineer,,Linkedin,VA,y,2/16/2023,y,25,Rejected,,2/19/2023,3,3,52,Yes,,Wage,No,Mid,Cyber Security,Consulting,3/13/2023 18:51:27
Asyril,Application Engineer,,Linkedin,MN,n,2/16/2023,y,25,Ghosted,,,,,,,,,No,Associate,Developer,Manufacturing,3/13/2023 18:51:27
Braintrust,Backend Python Developer,,Linkedin,CA,y,2/16/2023,y,25,Ghosted,,,,,,,,,No,Entry,Developer,Staffing,3/13/2023 18:51:27
Amax,Computer Systems Engineer,,Linkedin,CA,n,2/25/2023,y,16,Ghosted,,,,,,Yes,"90,000",Salary,No,Associate,IT,IT,3/13/2023 18:51:27
Palo Alto Networks,Consulting Engineer,,Linkedin,CA,n,2/16/2023,y,25,Rejected,,2/28/2023,12,12,,,,,No,Mid,IT,IT,3/13/2023 18:51:27
Amax,Computer Systems Engineer,,Linkedin,CA,n,2/25/2023,y,16,Ghosted,,,,,,Yes,"90,000",Salary,No,Associate,IT,IT,3/13/2023 18:51:27
Eliassen Group LLC,Security Analyst,,Linkedin,CA,n,2/17/2023,y,24,Rejected,,3/1/2023,12,12,,,,,No,Associate,IT,Consulting,3/13/2023 18:51:27
Eliassen Group LLC,Python Developer,,Linkedin,CA,n,2/17/2023,y,24,Rejected,,3/1/2023,12,12,70,Yes,,Wage,No,Mid,Developer,Consulting,3/13/2023 18:51:27
Insight Global,Junior Infrastructure Engineer,,Linkedin,USA,n,2/20/2023,y,21,Rejected,,2/20/2023,0,0,48,Yes,,Wage,No,Mid,Developer,Staffing,3/13/2023 18:51:27
Supermicro,System Product Engineer,,Linkedin,CA,n,2/25/2023,y,16,Ghosted,,,,,,Yes,"107,000",Salary,No,Entry,IT,Hardware,3/13/2023 18:51:27
Braintrust,AWS Cloud Engineer,,Linkedin,CA,y,2/25/2023,y,16,Ghosted,,,,,,,,,No,Mid,IT,IT,3/13/2023 18:51:27
Intelletec,Research Engineer,,Linkedin,CA,y,2/25/2023,y,16,Ghosted,,,,,,Yes,"175,000",Salary,No,Mid,IT,Staffing,3/13/2023 18:51:27
"Enquizit, Inc.",Systems Engineer - Migration,,Linkedin,USA,y,2/25/2023,y,16,Rejected,,2/28/2023,3,3,,,,,No,Mid,IT,Consulting,3/13/2023 18:51:27
